Emiten;EPS;PER;PBV;Harga
ADRO;175,58;8,86;0,9;1555
AKRA;179,3;22,03;1,58;3950
AMRT;26,81;32,82;5,31;880
ANTM;8,08;103,96;1,11;840
ARTO;-101,64;-30,5;5,43;3100
ASII;535,98;12,92;1,5;6925
BBCA;1059,64;28,55;4,68;33425
BBNI;831,59;9,44;1,16;7850
BBRI;281,51;15,63;2,57;4400
BMRI;594,85;12,9;1,7;7675
BRPT;6,89;219,19;3,51;1510
CPIN;221,62;29,33;5,06;6500
EMTK;-270,72;-20,59;2,56;5575
ESSA;2,56;104,69;0,89;268
HRUM;95,27;13,86;0,64;1320
INCO;80,6;45,16;1,34;3640
INDF;557,75;14,21;1,28;7925
ITMG;1635,59;7,02;1,05;11475
KLBF;53,45;30,31;4,55;1620
MDKA;44,96;23,8;3,22;1070
MEDC;-30,1;-28,74;0,83;865
PGAS;38,82;55,9;1,17;2170
PTBA;352,77;7,54;1,66;2660
SMGR;405,45;29,6;2,1;12000
TLKM;188,32;21,08;3,35;3970
TOWR;45,92;17,53;4,69;805
UNTR;3057,32;7,04;1,31;21525
UNVR;972,74;43,18;60,67;42000
