Emiten;EPS;PER;PBV;Harga
ADRO;790;3,39;0,75;2380
AKRA;138,33;12,94;2,56;1475
AMRT;82;35,48;7,69;2930
ANTM;128,24;12,79;1,26;1705
ARTO;5,28;505,68;4,38;2900
ASII;835,53;6,22;0,83;5650
BBCA;398,68;24,64;4,94;9400
BBNI;566,65;10,41;1,41;5375
BBRI;400,67;15,29;2,9;6175
BMRI;595,85;11,83;2,27;7050
BRPT;4,3;232,56;1,48;1330
BUKA;-13,24;-11,1;0,6;216
CPIN;141,38;37,84;3,25;5025
EMTK;-2,3;-189,57;0,7;590
ESSA;31,02;23,21;1,62;510
GOTO;-75,24;-0,93;2,35;86
HRUM;172,48;8,26;1,06;1335
INCO;427,19;9,25;0,99;4310
INDF;925,8;7,13;0,58;6450
ITMG;7011,91;3,74;1,07;25650
KLBF;58,99;25;2,99;1610
MDKA;-13,21;-177,9;1,33;2700
MEDC;203,1;7,36;1,2;1155
PGAS;177,15;7,03;0,55;1130
PTBA;530,94;5,42;1,54;2440
SMGR;319,19;17,94;0,81;6400
TLKM;247,83;14,08;2,21;3950
TOWR;63,79;13,4;2,64;990
UNTR;5570,75;4,34;1,07;22625
UNVR;126,01;21,35;30,35;3530
