Emiten;EPS;PER;PBV;Harga
ADRO;1225,58;3,14;1,2;3850
AKRA;119,57;11,71;2,14;1400
AMRT;68,8;38,52;9,59;2650
ANTM;159,21;12,47;2,01;1985
ARTO;1,16;3206,9;6,18;3720
ASII;714,67;7,98;0,96;5700
BBCA;333,9;25,61;4,72;8550
BBNI;989,84;9,32;1,21;9225
BBRI;341,14;14,48;2,44;4940
BMRI;445,57;22,27;1,82;9925
BRPT;0,3;2516,67;1,21;755
BUKA;19,24;13,62;1,02;262
CPIN;178,56;31,64;3,52;5650
EMTK;88,95;11,58;1,58;1030
ESSA;139,12;6,58;1,73;915
GOTO;-33,41;-2,72;0,88;91
HRUM;351,62;4,61;1,4;1620
INCO;318,44;22,3;1,9;7100
INDF;722,62;9,31;0,63;6725
ITMG;17162,11;2,27;1,44;39025
KLBF;72,12;28,98;4,43;2090
MDKA;38,14;108,02;3,12;4120
MEDC;332,72;3,05;0,93;1015
PGAS;212,07;8,3;0,79;1760
PTBA;1092,83;3,38;1,47;3690
SMGR;347,77;18,91;0,94;6575
TLKM;209,41;17,91;2,49;3750
TOWR;67,42;16,3;3,89;1100
UNTR;5677,06;4,59;1,09;26075
UNVR;140,81;33,3;44,86;4700
