Emiten;EPS;PER;PBV;Harga
ADRO;416,25;5,41;1,13;2250
AKRA;277,9;14,79;1,46;4110
AMRT;46,41;26,18;5,35;1215
ANTM;77,57;29,01;2,59;2250
ARTO;6,28;2547,77;26,61;16000
ASII;498,67;11,43;1,07;5700
BBCA;1111,93;28,34;4,39;7300
BBNI;589,11;11,46;0,98;6750
BBRI;207,11;19,84;2,11;4110
BMRI;606,67;11,58;1,46;7025
BRPT;16,62;51,42;1,32;855
BUKA;-16,23;-26,49;1,89;430
CPIN;220,79;26,65;3,88;5950
EMTK;92,47;24,66;4,15;2280
ESSA;12,7;41,73;1,93;530
GOTO;-18,06;-21,15;3,25;382
HRUM;392,68;26,29;3,01;10325
INCO;238,97;19,58;1,51;4680
INDF;870,71;7,26;0,64;6325
ITMG;6169,01;3,31;1,34;20400
KLBF;67,88;23,79;3,56;1615
MDKA;22,52;172,74;8,01;3890
MEDC;26,73;17,43;0,67;466
PGAS;179,14;7,68;0,71;1375
PTBA;687,75;3,94;1,29;2710
SMGR;342,57;21,16;1,08;7250
TLKM;249,85;16,17;2,75;4040
TOWR;67,2;16,74;4,76;1125
UNTR;2778,29;7,97;1,15;22150
UNVR;151,13;27,2;36,28;4110
