Emiten;EPS;PER;PBV;Harga
ADRO;177,80;26,32;4,27;1860,00
AKRA;300,42;21,24;2,82;6350,00
AMRT;7,24;84,25;4,82;610,00
ANTM;5,69;109,84;0,81;625,00
ARTO;-7,28;-23,08;1,44;168,00
ASII;466,20;17,80;2,15;8300,00
BBCA;955,33;22,92;4,07;21900,00
BBNI;736,03;13,45;1,81;9900,00
BBRI;237,48;15,33;2,66;3640,00
BMRI;446,75;17,91;2,17;8000,00
BRPT;115,42;19,58;1,15;2260,00
CPIN;152,30;19,70;3,13;3000,00
EMTK;7,82;1214,83;3,00;9500,00
ESSA;3,15;69,84;0,84;220,00
HRUM;227,20;9,02;1,03;2050,00
INCO;-20,90;-138,28;1,17;2890,00
INDF;473,69;16,10;1,43;7625,00
ITMG;3111,21;6,65;1,80;20700,00
KLBF;51,25;32,98;5,70;1690,00
MDKA;162,14;13,20;2,98;2140,00
MEDC;105,64;8,42;0,76;890,00
PGAS;80,14;21,84;0,96;1750,00
PTBA;389,26;6,32;2,05;2460,00
SMGR;341,36;29,00;1,93;9900,00
TLKM;219,69;20,21;3,99;4440,00
TOWR;205,89;19,43;5,75;4000,00
UNTR;2000,80;17,69;2,76;35400,00
UNVR;921,65;60,65;82,44;55900,00
